language,distribution
gle,7.523373525049972
eng,29.959378425430394
nor,4.011864078921916
spa,7.375072538526018
ita,11.528789734992586
isl,3.0059965181507513
mkd,2.3044683732026563
lit,2.0491327616222836
ces,1.154168547295119
slk,0.9929718228125604
lav,4.735314978399638
tur,1.575859178541492
nld,1.3076278290025147
por,3.6443355471016825
fra,1.6209942613966084
deu,1.7834805596750274
fin,0.6331807337674898
slv,2.4940357211941455
ell,0.5390418466696757
ukr,3.082081372106519
bel,1.7447933457992133
hun,0.40750531949190794
est,1.0419756270552583
cym,1.9640208910954928
ron,0.26178348055967504
bul,1.5333032432780966
pol,0.9078599522857697
dan,0.3559223676574892
sqi,0.23083370945902382
swe,0.23083370945902382
