language,distribution
gle,7.9471222061447255
eng,31.830633718724975
nor,4.225728053046374
spa,7.8206875237065026
ita,12.195327536069005
isl,3.205821614711378
fin,0.6532458592641501
lit,2.0833626006209345
lav,4.874759422895917
nld,1.3570655915035894
por,3.870306112414481
fra,1.8880912577441245
deu,1.9077588750122922
tur,1.452594018234691
slv,2.3081353693999973
mkd,1.4989534017953725
hun,0.4284730904850877
est,1.0789092901394994
bel,0.9988339912619586
cym,2.086172260230673
slk,0.6996052428248318
ron,0.24022589663262295
ukr,1.6928199148673138
pol,1.4792857845272045
ces,0.25146453507157607
bul,1.032549906578818
dan,0.3835185367292752
swe,0.2627031735105292
sqi,0.2247727687790624
ell,0.021072447073037102
